"CTIDEN";"CTCODI";"CTDESC";"CTSMLDV";"CTANEX";"CTTCID"
48;"C15";"CONDUCIR UN VEHICULO, PARTICULAR O DE SERVICIO PUBLICO, EXCEDIENDO LA CAPACIDAD AUTORIZADA EN LA LICENCIA DE TRANSITO O TARJETA DE OPERACION.";0;NULL;NULL
49;"C16";"CONDUCIR UN VEHICULO, ESCOLAR SIN EL PERMISO RESPECTIVO O LOS DISTINTIVOS REGLAMENTARIOS, ESTO ES, NO LLEVAR LOS COLORES VERDES Y/O BLANCO DISTRIBUIDOS A LO LARGO Y ANCHO DE LA CARROCERIA EN LA PARTE ";0;NULL;NULL
35;"C02";"ESTACIONAR UN VEHICULO EN SITIOS PROHIBIDOS.";15;NULL;NULL
36;"C03";"BLOQUEAR UNA CALZADA O INTERSECCION CON UN VEHICULO.";15;NULL;NULL
50;"C17";"CIRCULAR CON COMBINACIONES DE VEHICULOS DE DOS (2) O MAS UNIDADES REMOLCADAS, SIN AUTORIZACION ESPECIAL DE AUTORIDAD COMPETENTE.";0;NULL;NULL
51;"C18";"CONDUCIR UN VEHICULO AUTORIZADO PARA PRESTAR SERVICIO PUBLICO CON EL TAXIMETRO DAÑADO, CON LOS SELLOS ROTOS O ETIQUETAS ADHESIVAS CON CALIBRACION VENCIDA O ADULTERADASO CUANDO SE CAREZCA DE EL, O CUAN";0;NULL;NULL
52;"C19";"DEJAR O RECOGER PASAJEROS EN SITIOS DISTINTOSDE LOS DEMARCADOS POR LAS AUTORIDADES, AL COSTADO DERECHO DE LA VIA, SALVO EN PARADEROS ESPECIALES DE VIAS TRONCALES QUE SEAN DISEÑADAS Y OPERADAS CON DEST";0;NULL;NULL
53;"C20";"CONDUCIR UN VEHICULO DE CARGA EN QUE SE TRANSPORTEN MATERIALES DE CONSTRUCCION O A GRANEL SIN LAS MEDIDAS DE PROTECCION, HIGIENE Y SEGURIDAD ORDENADAS QUE NO ESTE DEBIDAMENTE EMPACADA, ROTULADA,EMBALA";0;NULL;NULL
54;"C21";"NO ASEGURAR LA CARGA PARA EVITAR QUE SE CAIGAN EN LA VIA LAS COSAS TRANSPORTADAS. ADEMAS, SE INMOVILIZARA EL VEHICULO HASTA TANTO SE REMEDIE LA SITUACION.";0;NULL;NULL
55;"C22";"TRANSPORTAR CARGA DE DIMENSIONES SUPERIORES A LAS AUTORIZADAS SIN CUMPLIR CON LOS REQUISITOS EXIGIDOS. ADEMAS, EL VEHICULO SERA INMOVILIZADO HASTA QUE SE REMEDIE DICHA SITUACION.";0;NULL;NULL
56;"C23";"IMPARTIR EN VIAS PUBLICAS AL PUBLICO ENSEÑANZA PRACTICA PARA CONDUCIR, SIN ESTAR AUTORIZADO PARA ELLO.";0;NULL;NULL
57;"C24";"CONDUCIR MOTOCICLETA SIN OBSERVAR LAS NORMAS ESTABLECIDAS EN EL PRESENTE CÓDIGO";0;NULL;NULL
58;"C25";"TRANSITAR SIN ATENDER ALGUNA DE LAS SIGUIENTES REGLAS: A) CUANDO HUBIERE MAS DE UN CARRIL, POR EL CARRIL IZQUIERDO DE LA VIA A VELOCIDAD QUE ENTORPEZCA EL TRANSITO DE LOS DEMAS VEHICULOS. B) EN UNA VI";0;NULL;NULL
59;"C26";"TRANSITAR EN VEHICULOS DE 3,5 O MAS TONELADAS POR EL CARRIL IZQUIERDO DE LA VIA CUANDO HUBIERA MAS DE UN CARRIL";0;NULL;NULL
60;"C27";"CONDUCIR UN VEHICULO CUYA CARGA O PASAJEROS OBSTRUYAN LA VISIBILIDAD DEL CONDUCTOR HACIA EL FRENTE, ATRAS O COSTADOS, O IMPIDAN EL CONTROL SOBRE EL SISTEMA DE DIRECCION, FRENOS O SEGURIDAD. ADEMAS EL ";0;NULL;NULL
61;"E01";"PROVEER COMBUSTIBLE A VEHICULOS DE SERVICIO PUBLICO CON PASAJEROS A BORDO";0;NULL;NULL
62;"E02";"NEGARSE A PRETAR EL SERVICIO PUBLICO SIN CAUSA JUSTIFICADA, SIEMPRE QUE DICHA NEGATIVA CAUSE ALTERACION DEL ORDEN PUBLICO";0;NULL;NULL
63;"C28";"HACER USO DE SIRENAS, LUCES INTERMITENTES, O DE ALTA INTENSIDAD Y APARATOS SIMILARES LOS CUALES ESTÁN RESERVADOS A LOS VEHÍCULOS DE BOMBEROS, AMBULANCIAS, RECOLECTORES DE BASURA, SOCORRO, EMERGENCIA, ";0;NULL;NULL
65;"C30";"NO ATENDER UNA SEÑAL DE CEDA EL PASO.";0;NULL;NULL
66;"C31";"NO ACATAR LAS SEÑALES DE TRANSITO O REQUERIMIENTOS IMPARTIDOS POR LOS AGENTES DE TRANSITO.";0;NULL;NULL
77;"D04";"NO DETENERSE ANTE UNA LUZ ROJA O AMARILLA DE SEMAFORO,UNA SEÑAL DE PARE O UN SEMAFORO INTERMITENTE EN ROJO";30;NULL;NULL
68;"C33";"PONER UN VEHICULO EN MARCHA SIN LAS PRECAUCIONES PARA EVITAR CHOQUES.";0;NULL;NULL
69;"C34";"REPARAR UN VEHICULO EN LAS VIAS PUBLICAS, PARQUE O ACERA, O HACERLO EN CASO DE EMERGENCIA, SIN ATENDER EL PROCEDIMIENTO SEÑALADO EN ESTE CODIGO. O REPARAR VEHICULOS AUTOMOTORES EN LA ZONA DE SEGURIDAD";0;NULL;NULL
70;"C35";"NO REALIZAR LA REVISION TECNICOMECANICA Y DE EMISIONES CONTAMINANTES EN LOS SIGUIENTES PLAZOS O CUANDO AUN PORTANDO LOS CERTIFICADOS CORRESPONDIENTES NO CUENTAN CON LAS SIGUIENTES CONDICIONES TECNICOM";0;NULL;NULL
71;"C36";"TRANSPORTAR CARGA EN CONTENEDORE SIN LOS DISPOSIRIVOS ESPECIALES DE SUJECION. EL VEHICULO SERA INMOVILIZADO.";0;NULL;NULL
72;"C37";"TRANSPORTAR PASAJEROS EN EL PLATON DE UNA CAMIONETA PICO O EN LA PLATAFORMA DE UN VEHICULO DE CARGA, TRATESE DE FURGON O PLATAFORMA DE ESTACAS.";0;NULL;NULL
73;"C38";"USAR SISTEMAS MOVILES DE COMUNICACION O TELEFONOS INSTALADOS EN LOS VEHICULOS AL MOMENTO DE CONDUCIR, EXCEPTUANDO SI ESTOS SON UTILIZADOS CON ACCESORIOS O EQUIPOS AUXILIARES QUE PERMITAN TENER LAS MAN";0;NULL;NULL
74;"D01";"GUIAR UN VEHICULO SIN HABER OBTENIDO LA LICENCIA DE CONDUCCION  CORRESPONDIENTE. ADEMAS, EL VEHICULO SERA INMOBILIZADO EN EL LUGAR DE LOS HECHOS, HASTA QUE ESTE SEA RETIRADO POR UNA PERSONA AUTORIZADA";0;NULL;NULL
75;"D02";"CONDUCIR SIN PORTAR EL SEGURO OBLIGATORIO DE ACCIDENTES DE TRANSITO ORDENADO POR LA LEY. ADEMAS, EL VEHICULO SERA INMOVILIZADO.";0;NULL;NULL
78;"E03";"CONDUCIR EN ESTADO DE EMBRIAGUEZ O BAJO LOS EFECTOS DE SUSTANCIAS ALUCINOGENAS, SE ATENDERA A LO ESTABLECIDO EN EL ARTICULO 152 DE ESTE CODIGO. SI SE TRATA DE CONDUCTORES DE VEHICULOS DE SERVICIOS PUB";0;NULL;NULL
79;"D05";"CONDUCIR UN VEHICULO SOBRE ACERAS, PLAZAS, VIAS PEATONALES, SEPARADORES, BERMAS, DEMARCACIONES DE CANALIZACION, ZONA VERDES O VIAS ESPECIALES PARA VEHICULOS NO MOTORIZADOS. EN EL CASO DE MOTOCICLETAS ";0;NULL;NULL
80;"D06";"ADELANTAR A OTRO VEHICULO EN BERMA, TUNEL, PUENTE, CURVA, PASOS A NIVEL Y CRUCES NO REGULADOS O AL APROXIMARSE A LA CIMA DE UNA CUESTA O DONDE LA SEÑAL DE TRANSITO CORRESPONDIENTE LO INDIQUE. EN EL CA";0;NULL;NULL
81;"D07";"CONDUCIR REALIZANDO MANIOBRAS ALTAMENTE PELIGROSAS, SIEMPRE Y CUANDO LA MANIOBRA VIOLELAS NORMAS DE TRANSITO QUE PONGAN EN PELIGRO A LAS PERSONAS O LAS COSAS Y QUE CONSTITUYAN CONDUCTAS DOLOSAS O ALTA";0;NULL;NULL
82;"D08";"CONDUCIR UN VEHICULO SIN LUCES O SIN LOS DISPOSITIVOS LUMINOSOS DE POSICION, DIRECCIONAES O DE FRENO, O CON ALGUNA DE ELLAS DAÑADA, EN LAS HORAS O CIRCUNSTANCIAS SEÑALADAS A CONTINUACION, ADEMAS, EL V";0;NULL;NULL
83;"D09";"NO PERMITIR EL PASO DE LOS VEHICULOS DE EMERGENCIA, ESTO ES, AMBULANCIAS, VEHICULOS DE CUERPO DE BOMBEROS, VEHICULOS DE SOCORRO O EMERGENCIA Y DE LA POLICIA O EJERCITO. EL CONDUCTOR DEBE ORILLARSE AL ";0;NULL;NULL
84;"D10";"CONDUCIR UN VEHICULO PARA TRANSPORTE ESCOLAR CON EXCESO DE VELOCIDAD. EN LAS VIAS URBANAS, LA VELOCIDAD NO PODRA SER SUPERIOR A SESENTA (60) KILOMETROS POR HORA Y SIEMPRE Y CUANDO SE ENCUENTRE DEBIDAM";0;NULL;NULL
85;"D11";"PERMITIR EL SERVICIO PUBLICO DE PASAJEROS QUE NO TENGA LA SALIDA DE EMERGENCIA EN CADA UNO DE SU CONSTADOS ADICIONALMENTE A LAS PUERTAS DE ASCESO DE PASAJEROS. EN ESTE CASO, LA MULTA SE IMPONDRA SOLID";0;NULL;NULL
86;"E04";"TRANSPORTAR EN EL MISMO VEHICULO Y AL MISMO TIEMPO PERSONAS Y SUSTANCIAS PELIGROSAS COMO EXPLOSIVOS, TOXICOS, RADIACTIVOS, COMBUSTIBLES NO AUTORIZADOS, ETC. EN ESTOS CASOS SE SUSPENDERA LA LICENCIA PO";0;NULL;NULL
87;"D12";"CONDUCIR UN VEHICULO QUE, SIN LA DEBIDA AUTORIZACION, SE DESTINE A UN SERVICIO DIFERENTE DE AQUEL PARA EL CUAL TIENE LICENCIA DE TRANSITO. ADEMAS, EL VEHICULO SERA INMOVILIZADO POR PRIMERA VEZ, POR EL";0;NULL;NULL
88;"D13";"EN CASO DE TRANSPORTAR CARGA CON PESO SUPERIOR AL AUTORIZADO EL VEHICULO SERA INMOVILIZADO Y EL EXCESO DEBERA SER TRANSBORDADO.";0;NULL;NULL
90;"D15";"CAMBIO DEL RECORRIDO O TRAZADO DE LA RUTA PARA EL VEHICULO DE SERVICIO DE TRANSPORTE PUBLICO DE PASAJEROS, AUTORIZADO POR EL ORGANISMO DE TRANSITO CORRESPONDIENTE. EN ESTE CASO, LA MULTA SE IMPONDRA S";0;NULL;NULL
76;"D03";"TRANSITAR EN SENTIDO CONTRARIO AL ESTIPULADO PARA LA VIA, CALZADA O CARRIL. EN EL CASO DE MOTOCICLETAS SE PROCEDERA A SU INMOVILIZACION HASTA TANTO NO SE PAGUE EL VALOR DE LA MULTA O LA AUTORIDAD COMP";30;NULL;NULL
92;"F01";"INVADIR LA ZONA DESTINADA AL TRANSITO DE VEHICULOS, TRANSITAR EN ESTA EN PATINES, MONOPATINES, PATINETAS O SIMILARES";0;NULL;NULL
93;"F02";"LLEVAR, SIN LAS DEBIDAS PRECAUCIONES, ELEMENTOS QUE PUEDAN OBSTACULIZAR O AFECTAR EL TRANSITO";0;NULL;NULL
94;"F03";"CRUZAR POR SITIOS NO PERMITIDOS O TRANSITAR SOBRE EL GUARDAVIAS DEL FERROCARRIL.";0;NULL;NULL
95;"F04";"COLOCARSE DELANTE O DETRAS DE UN VEHICULO QUE TENGA EL MOTOR ENCENDIDO.";0;NULL;NULL
96;"F05";"REMOLCARSE DE VEHICULOS EN MOVIMIENTO.";0;NULL;NULL
97;"F06";"ACTUAR DE MANERA QUE PONGA EN PELIGRO SU INTEGRIDAD FISICA";0;NULL;NULL
98;"F07";"CRUZAR LA VIA ATRAVESANDO EL TRAFICO VEHICULAR EN LUGARES EN DONDE EXISTEN PASOS PEATONALES.";0;NULL;NULL
99;"F08";"OCUPAR LA ZONA DE SEGURIDAD Y PROTECCION DE LA VIA FERREA, LA CUAL SE ESTABLECE A UNA DISTANCIA NO MENOR DE DOCE (12) METROS A LADO Y LADO DEL EJE DE LA VIA FERREA.";0;NULL;NULL
100;"F09";"SUBIRSE O BAJARSE DE LOS VEHICULOS, ESTANDO ESTOS EN MOVIMIENTO, CUALQUIERA QUE SEA LA OPERACION O MANIOBRA QUE ESTEN REALIZANDO.";0;NULL;NULL
101;"F10";"TRANSITAR POR LOS TUNELES, PUENTES Y VIADUCTOS DE LAS VIAS FERREAS.";0;NULL;NULL
102;"F11";"EN RELACION CON EL STTMP, ESTOS NO DEBEN OCUPAR LA ZONA DE SEGURIDAD Y CORREDORES DE TRANSITO DE LOS VEHICULOS DEL STTMP, FUERA DE LOS LUGARES EXPRESAMENTE AUTORIZADOS Y HABILITADOS PARA ELLO.";0;NULL;NULL
103;"F12";"DENTRO DEL PERIMETRO URBANO, EL CRUCE DEBE HACERSE SOLO POR LAS ZONAS AUTORIZADAS, COMO LOS PUENTES PEATONALES, LOS PASOS PEATONALES Y LAS BOCACALLES.";0;NULL;NULL
104;"G01";"EL PASAJERO QUE SEA SORPRENDIDO FUMANDO EN UN VEHICULO DE SERVICIO PUBLICO, SERA OBLIGADO A ABANDONAR EL AUTOMOTOR Y DEBERA ASISTIR A UN CURSO DE SEGURIDAD VIAL.";0;NULL;NULL
105;"G02";"LOS PEATONES Y CICLISTAS QUE NO CUMPLAN CON LAS DISPOSICIONES DE ESTE CODIGO, SERAN AMONESTADOS POR LA AUTORIDAD DE TRANSITO COMPETENTE Y DEBERAN ASISTIR A UN CURSO FORMATIVO DICTARDO POR LAS AUTORIDA";0;NULL;NULL
106;"A12";"PRESTAR SERVICIO PUBLICO CON ESTE TIPO DE VEHICULOS ADEMAS, EL VEHICULO SERA INMOVILIZADO POR PRIMERA VEZ, POR EL TERMINO DE CINCO DIAS, POR SEGUNDA VEZ VEINTE DÌAS Y POR TERCERA VEZ CUARENTA DIAS";0;NULL;NULL
107;"B23";"UTILIZAR RADIOS, EQUIPOS DE SONIDO O DE AMPLIFICACION A VOLUMENES QUE SUPEREN LOS DECIBELES MAXIMOS ESTABLECIDOS POR LAS AUTORIDADES AMBIENTALES. DE IGUAL FORMA UTILIZAR PANTALLAS, PROYECTORES DE IMAG";0;NULL;NULL
108;"C39";"VULNERAR LAS SIGUIENTES REGLAS DE ESTACIONAMIENTO CONTENIDAS EN EL ARTICULO 77 DE ESTE CODIGO. EN AUTOPISTAS Y ZONAS RURALES, LOS VEHICULOS PODRAN ESTACIONARSE UNICAMENTE POR FUERA DE LA VIA COLOCANDO";0;NULL;NULL
109;"C40";"LOS CONDUCTORES CON MOVILIDAD NORMAL QUE ESTACIONEN SUS VEHICULOS EN LUGARES PUBLICOS DE ESTACIONAMIENTO ESPECIFICAMENTE DEMARCADOS CON EL SIMBOLO INTERNACIONAL DE ACCESIBILIDAD PARA LOS AUTOMOTORES Q";0;NULL;NULL
110;"D16";"ARROJAR RESIDUOS SOLIDOS AL ESPACIO PUBLICO DESDE UN VEHICULO AUTOMOTOR O DE TRACCION ANIMAL O HUMANA, ESTACIONADO O EN MOVIMIENTO.";0;NULL;NULL
111;"D17";"CUANDO SE DETECTE O ADVIERTA UNA INFRACCION A LAS NORMAS DE EMISION CONTAMINANTES O DE GENERACION DE RUIDO POR VEHICULOS AUTOMOTORES,";0;NULL;NULL
112;"H01";"CIRCULAR PORTANDO DEFENSAS RIGIDAS DIFERENTES DE LAS INSTALADAS ORIGINALMENTE POR EL FABRICANTE. ADEMAS EL VEHICULO SERA INMOVILIZADO PREVENTIVAMENTE HASTA QUE SEAN RETIRADAS.";0;NULL;NULL
113;"H02";"EL CONDUCTOR QUE NO PORTE LA LICENCIA DE TRANSITO, ADEMAS EL VEHICULO SERA INMOVILIZADO";0;NULL;NULL
115;"H04";"EL CONDUCTOR QUE NO RESPETE LOS DERECHOS E INTEGRIDAD DE LOS PEATONES";0;NULL;NULL
116;"H05";"EL CONDUCTOR QUE NO RESPETE LA PRELACION DE PASO EN INTERSECCIONES O GIROS O SEGUN LA CLASIFICACION DE LAS VIAS";0;NULL;NULL
117;"H06";"EL CONDUCTOR QUE NO TOME LAS MEDIDAS NECESARIAS PARA EVITAR EL MOVIMIENTO DEL VEHICULO ESTACIONADO. EN  VEHICULO DE TRACCION ANIMAL NO BLOQUEAR LAS RUEDAS PARA EVITAR SU MOVIMIENTO";0;NULL;NULL
118;"H07";"EL CONDUCTOR QUE LLEVE PASAJEROS EN LA PARTE EXTERIOR DEL VEHICULO, FUERA DE LA CABINA O EN LOS ESTRIBOS DE LOS MISMOS. ADEMAS EL VEHICULO SERA INMOVILIZADO PREVENTIVAMENTE HASTA QUE SE SUBSANE DICHA ";0;NULL;NULL
119;"H08";"EL CONDUCTOR QUE PORTE LUCES EXPLORADORAS EN LA PARTE POSTERIOR DEL VEHICULO. ADEMAS EL VEHICULO SERA INMOVILIZADO PREVENTIVAMENTE HASTA QUE SEAN RETIRADAS";0;NULL;NULL
120;"H09";"EL PASAJERO QUE PROFIERA EXPRESIONES INJRIOSAS O GROSERAS, PROMUEVA RIÑAS O CAUSE CUALQUIER MOLESTIA A LOS DEMAS PASAJEROS, ADEMAS LA ORDEN DE ABANDONAR EL VEHICULO, SIN PERJUICIO DE LAS SANCIONES A Q";0;NULL;NULL
121;"H10";"LOS CONDUCTORES DE VEHICULOS NO AUTOMOTORES QUE INCURRAN EN LAS SIGUIENTES INFRACCIONES: A) TRANSITAR A UNA DISTANCIA MAYOR DE UN (1) METRO DE LA ACERA U ORILLA O UTILIZAR LAS VIAS EXCLUSIVAS PARA SER";0;NULL;NULL
122;"H11";"VIAJAR LOS MENORES DE DOS (2) AÑOS SOLOS EN EL ASIENTO POSTERIOR SIN HACER USO DE UNA SILLA QUE GARANTICE SU SEGURIDAD Y QUE PERMITA SU FIJACION A EL, SIEMPRE Y CUANDO EL MENOR VIAJE UNICAMENTE EN COM";0;NULL;NULL
123;"H12";"TRANSITAR EN VEHICULOS DE ALTO TONELAJE POR LAS VIAS DE SITIOS QUE ESTEN DECLARADOS O SE DECLAREN COMO MONUMENTOS DE CONSERVACION HISTORICA";0;NULL;NULL
124;"H13";"LAS DEMAS CONDUCTAS QUE CONSTITUYAN INFRACCION A LAS NORMAS DE TRANSITO Y QUE NO SE ENCUENTREN DESCRITAS EN ESTE ACTO ADMINISTRATIVO";0;NULL;NULL
